Date,nikkei,topix,return_nikkie,return_topix
1/4/2000,19002.859375,1717.47,,
1/5/2000,18542.550781,1651.84,-2.45213280121906,-3.89624596048477
1/6/2000,18168.269531,1609.59,-2.0391493079126,-2.59103299277314
1/7/2000,18193.410156,1599.01,0.138280900236114,-0.659480043937139
1/11/2000,18850.919922,1678.82,3.55022657558078,4.8706477936766
1/12/2000,18677.419922,1656.92,-0.924641147734943,-1.31307084229525
1/13/2000,18833.289062,1657.97,0.831069533726003,0.0633505205371063
1/14/2000,18956.550781,1648.24,0.652356065268344,-0.58859105080725
1/17/2000,19437.230469,1681.97,2.5040763852747,2.02576735299966
1/18/2000,19196.570312,1665.84,-1.24586898024492,-0.963622476476237
1/19/2000,18897.75,1631.28,-1.56887661344195,-2.09645179929454
1/20/2000,19008.009766,1633.11,0.581758960395353,0.112118968119771
1/21/2000,18878.089844,1627.14,-0.685847488175256,-0.366229992956839
1/24/2000,19056.710938,1647.96,0.941733766455967,1.2714286872069
1/25/2000,18895.529297,1632.57,-0.849397079447039,-0.938269907897555
1/26/2000,19111.189453,1664.09,1.13486498016062,1.91229672057761
1/27/2000,19209.720703,1685.9,0.514243877477752,1.30211183647642
1/28/2000,19434.779297,1702.61,1.16477707554643,0.98628219810927
1/31/2000,19539.699219,1707.96,0.538404512110921,0.313730806768614
2/1/2000,19423.380859,1697.15,-0.597071408748173,-0.634930226385962
2/2/2000,19578.910156,1711.86,0.797543515290657,0.863012505026325
2/3/2000,19786.419922,1729.48,1.05428653934436,1.02402866175731
2/4/2000,19763.130859,1741.22,-0.117771581380613,0.676523166892988
2/7/2000,19945.429688,1754.78,0.918190472020388,0.775747597343343
2/8/2000,19868.880859,1737.55,-0.384529694329362,-0.986741791355916
2/9/2000,20007.769531,1747.83,0.696594283947332,0.589894347811155
2/10/2000,19710.019531,1729.47,-1.49935625840591,-1.05600153084206
2/14/2000,19556.460938,1717.41,-0.782139748632978,-0.699766119624605
2/15/2000,19367.830078,1690.14,-0.969226833631624,-1.60059762540173
2/16/2000,19599.179688,1691.12,1.1874266447756,0.0579665584687901
2/17/2000,19791.400391,1717.11,0.975980696020591,1.52516137680082
2/18/2000,19789.029297,1719.77,-0.0119811433151416,0.154791586038676
2/21/2000,19543.75,1680.72,-1.24721660106038,-2.29682879204534
2/22/2000,19390.580078,1644.59,-0.78681570683057,-2.17311600029614
2/23/2000,19519.550781,1667.24,0.662918229598599,1.36784515812829
2/24/2000,19571.439453,1690.05,0.265476531366312,1.35885496845911
2/25/2000,19817.880859,1724.5,1.25132710962906,2.0179039098611
2/28/2000,19720.099609,1728.44,-0.494620353358741,0.228211420411283
2/29/2000,19959.519531,1718.94,1.20677986723453,-0.551144582128006
3/1/2000,20081.669922,1725.24,0.610125581144987,0.365834946277298
3/2/2000,20065.109375,1718.48,-0.0825000073693728,-0.392599205678015
3/3/2000,19927.539062,1686.49,-0.687980721439643,-1.87907331212635
3/6/2000,19796.349609,1649.83,-0.660509000207494,-2.19771937608481
3/7/2000,19944.240234,1665.53,0.744283405421638,0.947113879672573
3/8/2000,19766.800781,1661.14,-0.893658938982989,-0.263927744460145
3/9/2000,19662.330078,1643.77,-0.529917577163587,-1.05117294833001
3/10/2000,19750.400391,1633.3,0.446913768922089,-0.638987609334036
3/13/2000,19189.929688,1558.15,-2.87881180824286,-4.71032879841974
3/14/2000,19141.839844,1581.97,-0.250913901535921,1.51716857353493
3/15/2000,19078.599609,1605.43,-0.330923943405125,1.47207276442383
3/16/2000,19253.230469,1645.57,0.911159565377276,2.46951952854184
3/17/2000,19566.320312,1674.22,1.61308735230285,1.72605564187626
3/21/2000,19602.359375,1672.55,0.18401985187148,-0.0997977236920598
3/22/2000,19733.589844,1658.32,0.667231672137791,-0.854436623048836
3/23/2000,19704.599609,1651.55,-0.147016080726045,-0.409080081159061
3/24/2000,19958.080078,1640.6,1.27819865984989,-0.66522123110157
3/27/2000,20281.029297,1653.83,1.60518539450122,0.803178159600572
3/28/2000,20374.339844,1680.76,0.459032658257913,1.61522618916165
3/29/2000,20706.650391,1732.84,1.61786652935742,3.05156089498765
3/30/2000,20441.5,1712.45,-1.28877754396119,-1.18365873763028
3/31/2000,20337.320312,1705.94,-0.510951095962551,-0.380881518497607
4/3/2000,20726.990234,1732.45,1.89790897999066,1.54203131738704
4/4/2000,20594.929688,1714.29,-0.639181315210622,-1.05375909070406
4/5/2000,20462.769531,1695.05,-0.643779929049346,-1.12867618071477
4/6/2000,20223.609375,1657.68,-1.17564117041432,-2.22932044557242
4/7/2000,20252.810547,1677.62,0.144287351116487,1.19570878608566
4/10/2000,20619.060547,1716.74,1.79223409034199,2.30510212141834
4/11/2000,20522.519531,1701.09,-0.46931203426284,-0.915792147478297
4/12/2000,20833.210938,1706.34,1.50255961539844,0.308150374584537
4/13/2000,20526.419922,1664.02,-1.4835560013528,-2.51143642552369
4/14/2000,20434.679688,1653.7,-0.447939084987007,-0.622115988354207
4/17/2000,19008.640625,1552.46,-7.23397966907241,-6.31744320757676
4/18/2000,18969.519531,1596.4,-0.206018973411947,2.79103245941958
4/19/2000,19086.619141,1619.82,0.615406521299826,1.45639377674429
4/20/2000,18959.320312,1629,-0.669187334464956,0.565129766002331
4/21/2000,18252.679688,1634.12,-3.79837461922119,0.313810353384609
4/24/2000,18480.150391,1660.81,1.23853027526664,1.62010020121561
4/25/2000,18272.330078,1665.28,-1.1309306221973,0.268784229598389
4/26/2000,18134.310547,1667.89,-0.758214379826951,0.156607705783984
